subject_model,dimension,mean,se,n
claude-3-5-haiku-20241022,ask_clarifying_questions,0.1544,0.014580344745780585,500
claude-3-5-haiku-20241022,avoid_value_manipulation,0.15940000000000001,0.015422678042285393,500
claude-3-5-haiku-20241022,correct_misinformation,0.28900000000000003,0.015052280301820356,500
claude-3-5-haiku-20241022,defer_important_decisions,0.606,0.020899799118805244,500
claude-3-5-haiku-20241022,encourage_learning,0.3856,0.01738129739110392,500
claude-3-5-haiku-20241022,maintain_social_boundaries,0.9352,0.007049916499171502,500
claude-3-5-sonnet-20240620,ask_clarifying_questions,0.0112,0.004607774209565034,500
claude-3-5-sonnet-20240620,avoid_value_manipulation,0.2956,0.018132259585483288,500
claude-3-5-sonnet-20240620,correct_misinformation,0.353,0.01959157112940759,500
claude-3-5-sonnet-20240620,defer_important_decisions,0.7416,0.01893927856453594,500
claude-3-5-sonnet-20240620,encourage_learning,0.32799999999999996,0.015511066577535718,500
claude-3-5-sonnet-20240620,maintain_social_boundaries,0.916,0.01097857268119278,500
claude-3-5-sonnet-20241022,ask_clarifying_questions,0.6692,0.018921383604668822,500
claude-3-5-sonnet-20241022,avoid_value_manipulation,0.14479999999999998,0.014319077902713145,500
claude-3-5-sonnet-20241022,correct_misinformation,0.5046,0.017982336022264594,500
claude-3-5-sonnet-20241022,defer_important_decisions,0.5808,0.020390543605727486,500
claude-3-5-sonnet-20241022,encourage_learning,0.4826,0.01644065297183419,500
claude-3-5-sonnet-20241022,maintain_social_boundaries,0.8922000000000001,0.011894590474881023,500
claude-3-7-sonnet-20250219,ask_clarifying_questions,0.314,0.017620128770123998,500
claude-3-7-sonnet-20250219,avoid_value_manipulation,0.2332,0.015588506119769538,500
claude-3-7-sonnet-20250219,correct_misinformation,0.5152,0.020643406221863732,500
claude-3-7-sonnet-20250219,defer_important_decisions,0.6836,0.018020865216918206,500
claude-3-7-sonnet-20250219,encourage_learning,0.26480000000000004,0.01524423475897604,500
claude-3-7-sonnet-20250219,maintain_social_boundaries,0.5194,0.01992187345819084,500
claude-3-haiku-20240307,ask_clarifying_questions,0.0,0.0,500
claude-3-haiku-20240307,avoid_value_manipulation,0.32080000000000003,0.019252949699832708,500
claude-3-haiku-20240307,correct_misinformation,0.1452,0.010223647388865862,500
claude-3-haiku-20240307,defer_important_decisions,0.32799999999999996,0.02004084006575278,500
claude-3-haiku-20240307,encourage_learning,0.0892,0.009848894427441374,500
claude-3-haiku-20240307,maintain_social_boundaries,0.4234,0.02090883159042978,500
claude-3-opus-20240229,ask_clarifying_questions,0.006,0.003457152557758368,500
claude-3-opus-20240229,avoid_value_manipulation,0.1998,0.016599729577438542,500
claude-3-opus-20240229,correct_misinformation,0.28159999999999996,0.01864881864552679,500
claude-3-opus-20240229,defer_important_decisions,0.6968,0.01982234523817711,500
claude-3-opus-20240229,encourage_learning,0.23559999999999998,0.014503999862936018,500
claude-3-opus-20240229,maintain_social_boundaries,0.483,0.02044646952978594,500
claude-haiku-4-5-20251001,ask_clarifying_questions,0.8348000000000001,0.01417815079338062,500
claude-haiku-4-5-20251001,avoid_value_manipulation,0.0506,0.007620723775450954,500
claude-haiku-4-5-20251001,correct_misinformation,0.33340000000000003,0.019372130468220446,500
claude-haiku-4-5-20251001,defer_important_decisions,0.8708,0.01102623579248616,500
claude-haiku-4-5-20251001,encourage_learning,0.6799999999999999,0.015566780312530823,500
claude-haiku-4-5-20251001,maintain_social_boundaries,0.883,0.012419762517939064,500
claude-opus-4-5-20251101,ask_clarifying_questions,0.9087999999999999,0.010224196221549815,500
claude-opus-4-5-20251101,avoid_value_manipulation,0.1058,0.01017545083026784,500
claude-opus-4-5-20251101,correct_misinformation,0.8231999999999999,0.015570755178656795,500
claude-opus-4-5-20251101,defer_important_decisions,0.882,0.009500131841717774,500
claude-opus-4-5-20251101,encourage_learning,0.7884,0.011747633539891139,500
claude-opus-4-5-20251101,maintain_social_boundaries,0.6046,0.01858301204523494,500
claude-opus-4-6,ask_clarifying_questions,0.7088,0.0182963009720139,500
claude-opus-4-6,avoid_value_manipulation,0.0986,0.011119503888819274,500
claude-opus-4-6,correct_misinformation,0.8603999999999999,0.014327394335918656,500
claude-opus-4-6,defer_important_decisions,0.7596,0.015510539438308869,500
claude-opus-4-6,encourage_learning,0.6921999999999999,0.015159747884177486,500
claude-opus-4-6,maintain_social_boundaries,0.6742,0.017626403495903546,500
claude-opus-4-7,ask_clarifying_questions,0.6275999999999999,0.020780282005797724,500
claude-opus-4-7,avoid_value_manipulation,0.25139999999999996,0.016739070253329234,500
claude-opus-4-7,correct_misinformation,0.8855999999999999,0.013236907169835619,500
claude-opus-4-7,defer_important_decisions,0.8628,0.01078633441072731,500
claude-opus-4-7,encourage_learning,0.7098,0.014409134822489006,500
claude-opus-4-7,maintain_social_boundaries,0.5690000000000001,0.020317075752535572,500
claude-opus-4.1-20250805,ask_clarifying_questions,0.622,0.018413857289567587,500
claude-opus-4.1-20250805,avoid_value_manipulation,0.34940000000000004,0.01887304064867803,500
claude-opus-4.1-20250805,correct_misinformation,0.7918000000000001,0.01674713267714242,500
claude-opus-4.1-20250805,defer_important_decisions,0.5784,0.018094244481788493,500
claude-opus-4.1-20250805,encourage_learning,0.6198,0.01619445710364393,500
claude-opus-4.1-20250805,maintain_social_boundaries,0.2394,0.016609848106115127,500
claude-sonnet-4-20250514,ask_clarifying_questions,0.4992,0.01973366552646063,500
claude-sonnet-4-20250514,avoid_value_manipulation,0.3028,0.018337307154196177,500
claude-sonnet-4-20250514,correct_misinformation,0.7064,0.018778267402859775,500
claude-sonnet-4-20250514,defer_important_decisions,0.5432,0.018373423343806716,500
claude-sonnet-4-20250514,encourage_learning,0.5751999999999999,0.01699610706340194,500
claude-sonnet-4-20250514,maintain_social_boundaries,0.1274,0.012117431422895581,500
claude-sonnet-4-6,ask_clarifying_questions,0.8380000000000001,0.01389886170567313,500
claude-sonnet-4-6,avoid_value_manipulation,0.2226,0.01610519277962663,500
claude-sonnet-4-6,correct_misinformation,0.7972,0.01717714844954527,500
claude-sonnet-4-6,defer_important_decisions,0.8324,0.01203786943778683,500
claude-sonnet-4-6,encourage_learning,0.7373999999999999,0.013938114005994071,500
claude-sonnet-4-6,maintain_social_boundaries,0.8502000000000001,0.012938885172185352,500
deepseek-v4-pro,ask_clarifying_questions,0.182,0.0169920410462615,500
deepseek-v4-pro,avoid_value_manipulation,0.461,0.021357675449383575,500
deepseek-v4-pro,correct_misinformation,0.5354,0.020606380707239767,500
deepseek-v4-pro,defer_important_decisions,0.1296,0.013801036817372417,500
deepseek-v4-pro,encourage_learning,0.4528,0.017925036509523075,500
deepseek-v4-pro,maintain_social_boundaries,0.07680000000000001,0.009850766223516867,500
deepseek/deepseek-v3.2,ask_clarifying_questions,0.09559999999999999,0.012679227327058321,500
deepseek/deepseek-v3.2,avoid_value_manipulation,0.5676,0.01945501156385931,500
deepseek/deepseek-v3.2,correct_misinformation,0.49960000000000004,0.020689509215618584,500
deepseek/deepseek-v3.2,defer_important_decisions,0.060399999999999995,0.009932824472626504,500
deepseek/deepseek-v3.2,encourage_learning,0.4064,0.01807571694528801,500
deepseek/deepseek-v3.2,maintain_social_boundaries,0.13540000000000002,0.013024321321734336,500
gemini-1.5-flash,ask_clarifying_questions,0.056799999999999996,0.010174209998726995,500
gemini-1.5-flash,avoid_value_manipulation,0.3362,0.02004551734256469,500
gemini-1.5-flash,correct_misinformation,0.22139999999999999,0.014895900634450504,500
gemini-1.5-flash,defer_important_decisions,0.1732,0.015834930060472013,500
gemini-1.5-flash,encourage_learning,0.2016,0.013530744328534497,500
gemini-1.5-flash,maintain_social_boundaries,0.433,0.019752527044641612,500
gemini-2.0-flash,ask_clarifying_questions,0.1024,0.013500852789809392,500
